check,claim,status,metric,treatment,control,direction,n_common,delta_mean,delta_ci95_low,delta_ci95_high,improvement_mean,improvement_ci95_low,improvement_ci95_high,noninferiority_margin,win_rate,sign_p_value
order_book_matching_neural_state_space_vs_ema_avg_slippage_bps,L2 order-book matching encoder paired check,not_supported,avg_slippage_bps,neural_state_space,ema,decrease,30,3.978299171573478e-16,-2.581268532253489e-15,2.9902006796570883e-15,-3.978299171573478e-16,-2.990246938949781e-15,2.385129131236378e-15,,0.13333333333333333,1.0
order_book_matching_neural_state_space_vs_ema_partial_fill_rate,L2 order-book matching encoder paired check,not_supported,partial_fill_rate,neural_state_space,ema,decrease,30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0
order_book_matching_neural_state_space_vs_ema_fill_rate,L2 order-book matching encoder paired check,not_supported,fill_rate,neural_state_space,ema,increase,30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0
order_book_matching_state_space_vs_ema_sharpe,L2 order-book matching encoder paired check,supported,sharpe,state_space,ema,increase,30,366.2082691979319,299.1325947627686,432.6356899415424,366.2082691979319,297.58510934842104,432.1808407193529,,0.9666666666666667,5.774199962615967e-08
order_book_matching_state_space_vs_ema_total_return,L2 order-book matching encoder paired check,supported,total_return,state_space,ema,increase,30,0.0011499998756797562,0.0008016393994268114,0.0015002462955136884,0.0011499998756797562,0.0007766627427250206,0.0015027505709397722,,0.8666666666666667,5.947612226009369e-05
order_book_matching_state_space_vs_ema_max_drawdown,L2 order-book matching encoder paired check,supported,max_drawdown,state_space,ema,decrease,30,-0.0012245231371146377,-0.0015659101181755976,-0.000886848039487425,0.0012245231371146377,0.0008769301614794876,0.0015531911512552566,,0.9333333333333333,8.67992639541626e-07
order_book_matching_state_space_vs_ema_avg_slippage_bps,L2 order-book matching encoder paired check,not_supported,avg_slippage_bps,state_space,ema,decrease,30,0.0015867517395915557,0.00017527438056867036,0.003104987637230599,-0.0015867517395915557,-0.003178173107661155,-0.00021183356156447735,,0.43333333333333335,0.3017578125
order_book_matching_state_space_vs_ema_partial_fill_rate,L2 order-book matching encoder paired check,not_supported,partial_fill_rate,state_space,ema,decrease,30,0.003081232492997201,0.00028011204481793545,0.006022408963585442,-0.003081232492997201,-0.006302521008403359,-0.00042016806722688926,,0.06666666666666667,0.109375
order_book_matching_state_space_vs_ema_fill_rate,L2 order-book matching encoder paired check,not_supported,fill_rate,state_space,ema,increase,30,-0.0030812324929972027,-0.0060224089635854405,-0.0002801120448179335,-0.0030812324929972027,-0.006302521008403365,-0.0004201680672268911,,0.06666666666666667,0.109375
order_book_l3_adaptive_wavelet_vs_ema_sharpe,L3 order-event replay encoder paired check,positive_mixed,sharpe,adaptive_wavelet,ema,increase,10,21.543768392237325,-7.282625387210329,53.62764300617215,21.543768392237325,-6.789201154527278,52.495811403601216,,0.5,1.0
order_book_l3_adaptive_wavelet_vs_ema_total_return,L3 order-event replay encoder paired check,not_supported,total_return,adaptive_wavelet,ema,increase,10,-3.2350424838956116e-08,-1.1370612986043028e-05,9.607101307451404e-06,-3.2350424838956116e-08,-1.2530885793308744e-05,9.640990520646535e-06,,0.7,0.34375
order_book_l3_adaptive_wavelet_vs_ema_max_drawdown,L3 order-event replay encoder paired check,positive_mixed,max_drawdown,adaptive_wavelet,ema,decrease,10,-2.885306841293733e-06,-9.851202437468897e-06,3.401397405723978e-06,2.885306841293733e-06,-3.460922439997016e-06,1.03480491269392e-05,,0.5,1.0
order_book_l3_adaptive_wavelet_vs_ema_fill_rate,L3 order-event replay encoder paired check,positive_mixed,fill_rate,adaptive_wavelet,ema,increase,10,0.0029288702928870316,-0.0033472803347280367,0.009623430962343105,0.0029288702928870316,-0.0033472803347280367,0.010041841004184104,,0.5,0.7265625
